Type,Section,W,A,d,bf,tw,tf,kdes,k,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw
W,W44X335,335.0,98.5,44,15.9,1.03,1.77,2.56,1.75,31100.0,1620.0,1410.0,17.8,1200.0,236.0,150.0,3.49,74.7,535000
W,W44X290,290.0,85.4,43.6,15.8,0.865,1.58,2.36,1.625,27000.0,1410.0,1240.0,17.8,1040.0,205.0,132.0,3.49,50.9,461000
W,W44X262,262.0,77.2,43.3,15.8,0.785,1.42,2.2,1.625,24100.0,1270.0,1110.0,17.7,923.0,182.0,117.0,3.47,37.3,405000
W,W44X230,230.0,67.8,42.9,15.8,0.71,1.22,2.01,1.5625,20800.0,1100.0,971.0,17.5,796.0,157.0,101.0,3.43,24.9,346000
W,W40X655,655.0,193.0,43.6,16.9,1.97,3.54,4.72,2.1875,56500.0,3080.0,2590.0,17.1,2870.0,542.0,340.0,3.86,589,1150000
W,W40X593,593.0,174.0,43,16.7,1.79,3.23,4.41,2.125,50400.0,2760.0,2340.0,17.0,2520.0,481.0,302.0,3.8,445,997000
W,W40X503,503.0,148.0,42.1,16.4,1.54,2.76,3.94,2,41600.0,2320.0,1980.0,16.8,2040.0,394.0,249.0,3.72,277,789000
W,W40X431,431.0,127.0,41.3,16.2,1.34,2.36,3.54,1.875,34800.0,1960.0,1690.0,16.6,1690.0,328.0,208.0,3.65,177,638000
W,W40X397,397.0,117.0,41,16.1,1.22,2.2,3.38,1.8125,32000.0,1800.0,1560.0,16.6,1540.0,300.0,191.0,3.64,142,579000
W,W40X372,372.0,110.0,40.6,16.1,1.16,2.05,3.23,1.8125,29600.0,1680.0,1460.0,16.5,1420.0,277.0,177.0,3.6,116,528000
W,W40X362,362.0,106.0,40.6,16,1.12,2.01,3.19,1.75,28900.0,1640.0,1420.0,16.5,1380.0,270.0,173.0,3.6,109,513000
W,W40X324,324.0,95.3,40.2,15.9,1,1.81,2.99,1.6875,25600.0,1460.0,1280.0,16.4,1220.0,239.0,153.0,3.58,79.4,448000
